0.3,1.0
0.7,2.0
1.13,3.0
1.55,4.0
1.97,1.0
2.38,2.0
2.79,3.0
3.21,4.0
3.63,1.0
4.05,2.0
4.46,3.0
4.88,4.0
5.3,1.0
5.72,2.0
6.13,3.0
6.55,4.0
6.97,1.0
7.38,2.0
7.79,3.0
8.22,4.0
8.63,1.0
9.07,2.0
9.47,3.0
9.88,4.0
10.3,1.0
10.71,2.0
11.13,3.0
11.55,4.0
11.97,1.0
12.38,2.0
12.8,3.0
13.22,4.0
13.64,1.0
14.03,2.0
14.46,3.0
14.89,4.0
15.3,1.0
15.72,2.0
16.13,3.0
16.55,4.0
16.96,1.0
17.38,2.0
17.79,3.0
18.22,4.0
18.64,1.0
19.05,2.0
19.46,3.0
19.88,4.0
20.3,1.0
20.72,2.0
21.13,3.0
21.54,4.0
21.97,1.0
22.39,2.0
22.79,3.0
23.23,4.0
23.64,1.0
24.04,2.0
24.46,3.0
24.88,4.0
25.3,1.0
25.72,2.0
26.13,3.0
26.55,4.0
26.97,1.0
27.38,2.0
